"rhail_code","rhail_codedefinitionid","rhail_codetype","rhail_definition","importsequencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"N332","dbc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid prior hospital discharge date.","","1","0","","","31491326","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N331","dac55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid physician order date.","","1","0","","","31491324","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N330","d9c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid patient death date.","","1","0","","","31491322","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N33","2eefa58f-e2d1-ef11-8eea-6045bd080606","984780001","No record of health check prior to initiation of treatment.","","1","0","","","31491320","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N329","d8c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid patient birth date.","","1","0","","","31491318","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N328","d7c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid Oxygen Saturation Test date.","","1","0","","","31491316","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N327","d6c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid other insured birth date.","","1","0","","","31491314","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N326","d5c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last x-ray date.","","1","0","","","31491312","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N325","d4c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last worked date.","","1","0","","","31491310","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N324","d3c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last seen/visit date.","","1","0","","","31491308","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N323","d2c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last contact date.","","1","0","","","31491306","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N322","d1c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last certification date.","","1","0","","","31491304","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N321","d0c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid last admission period.","","1","0","","","31491302","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N320","cfc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid Home Health Certification Period.","","1","0","","","31491300","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N32","2defa58f-e2d1-ef11-8eea-6045bd080606","984780001","Claim must be submitted by the provider who rendered the service.","","1","0","","","31491298","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N319","cec55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid hearing or vision prescription date.","","1","0","","","31491296","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N318","cdc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid discharge or end of care date.","","1","0","","","31491294","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N317","ccc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid discharge hour.","","1","0","","","31491292","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N316","cbc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid disability to date.","","1","0","","","31491290","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N315","cac55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid disability from date.","","1","0","","","31491288","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N314","c9c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid diagnosis date.","","1","0","","","31491287","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N313","c8c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid certification revision date.","","1","0","","","31491284","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N312","c7c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid begin therapy date.","","1","0","","","31491282","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N311","c6c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid authorized to return to work date.","","1","0","","","31491280","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N31","2cefa58f-e2d1-ef11-8eea-6045bd080606","984780001","Missing/incomplete/invalid prescribing provider identifier.","","1","0","","","31491278","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N310","c5c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid assumed or relinquished care date.","","1","0","","","31491276","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N309","c4c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid assessment date.","","1","0","","","31491272","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N308","c3c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid appliance placement date.","","1","0","","","31491270","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N307","c2c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid adjudication or payment date.","","1","0","","","31491268","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N306","c1c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid acute manifestation date.","","1","0","","","31491266","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N305","c0c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid injury/accident date.","","1","0","","","31491264","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N304","bfc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid dispensed date.","","1","0","","","31491262","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N303","bec55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid principal procedure date.","","1","0","","","31491260","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N302","bdc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid other procedure date(s).","","1","0","","","31491258","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N301","bcc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid procedure date(s).","","1","0","","","31491256","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N300","bbc55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid occurrence span date(s).","","1","0","","","31491254","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N30","2befa58f-e2d1-ef11-8eea-6045bd080606","984780001","Patient ineligible for this service.","","1","0","","","31491252","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N3","8aaaad89-e2d1-ef11-8eea-6045bd080606","984780001","Missing consent form.","","1","0","","","31491250","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N299","bac55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid occurrence date(s).","","1","0","","","31491248","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N298","b9c55993-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid supervising provider secondary identifier.","","1","0","","","31491246","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N297","8d1f5f8d-e2d1-ef11-8eea-6045bd01b467","984780001","Missing/incomplete/invalid supervising provider primary identifier.","","1","0","","","31491244","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N296","a7cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid supervising provider name.","","1","0","","","31491242","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N295","a6cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid service facility secondary identifier.","","1","0","","","31491240","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N294","a5cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid service facility primary address.","","1","0","","","31491238","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N293","a4cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid service facility primary identifier.","","1","0","","","31491234","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N292","a3cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid service facility name.","","1","0","","","31491232","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N291","a2cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid rendering provider secondary identifier.","","1","0","","","31491230","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N290","a1cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid rendering provider primary identifier.","","1","0","","","31491228","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N289","a0cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid rendering provider name.","","1","0","","","31491226","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N288","9fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid rendering provider taxonomy.","","1","0","","","31491224","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N287","9ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid referring provider secondary identifier.","","1","0","","","31491222","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N286","9dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid referring provider primary identifier.","","1","0","","","31491220","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N285","9ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid referring provider name.","","1","0","","","31491218","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N284","9bcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid referring provider taxonomy.","","1","0","","","31491216","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N283","9acf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid purchased service provider identifier.","","1","0","","","31491214","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N282","99cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid pay-to provider secondary identifier.","","1","0","","","31491212","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N281","98cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid pay-to provider address.","","1","0","","","31491210","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N280","97cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid pay-to provider primary identifier.","","1","0","","","31491208","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N28","2aefa58f-e2d1-ef11-8eea-6045bd080606","984780001","Consent form requirements not fulfilled.","","1","0","","","31491206","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N279","96cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid pay-to provider name.","","1","0","","","31491204","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N278","95cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer service facility provider identifier.","","1","0","","","31491202","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N277","94cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer rendering provider identifier.","","1","0","","","31491200","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N276","93cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer referring provider identifier.","","1","0","","","31491198","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N275","92cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer purchased service provider identifier.","","1","0","","","31491196","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N274","91cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer other provider identifier.","","1","0","","","31491194","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N273","90cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer operating provider identifier.","","1","0","","","31491192","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N272","8fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other payer attending provider identifier.","","1","0","","","31491190","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N271","8ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other provider secondary identifier.","","1","0","","","31491188","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N270","8dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other provider primary identifier.","","1","0","","","31491186","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N27","29efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Missing/incomplete/invalid treatment number.","","1","0","","","31491184","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N269","8ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid other provider name.","","1","0","","","31491182","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N268","8bcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid ordering provider contact information.","","1","0","","","31491180","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N267","8acf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid ordering provider secondary identifier.","","1","0","","","31491178","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N266","89cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid ordering provider address.","","1","0","","","31491176","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N265","88cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid ordering provider primary identifier.","","1","0","","","31491174","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N264","87cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid ordering provider name.","","1","0","","","31491172","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N263","86cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid operating provider secondary identifier.","","1","0","","","31491170","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N262","84cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid operating provider primary identifier.","","1","0","","","31491169","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N261","83cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid operating provider name.","","1","0","","","31491167","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N260","82cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider/supplier contact information.","","1","0","","","31491165","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N26","28efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Missing itemized bill/statement.","","1","0","","","31491163","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N259","81cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider/supplier secondary identifier.","","1","0","","","31491161","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N258","80cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider/supplier address.","","1","0","","","31491159","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N257","7fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider/supplier primary identifier.","","1","0","","","31491157","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N256","7ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider/supplier name.","","1","0","","","31491155","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N255","7dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid billing provider taxonomy.","","1","0","","","31491153","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N254","7ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid attending provider secondary identifier.","","1","0","","","31491150","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N253","7bcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid attending provider primary identifier.","","1","0","","","31491148","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N252","7acf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid attending provider name.","","1","0","","","31491146","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N251","79cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid attending provider taxonomy.","","1","0","","","31491144","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N250","78cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid assistant surgeon secondary identifier.","","1","0","","","31491142","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N25","27efa58f-e2d1-ef11-8eea-6045bd080606","984780001","This company has been contracted by your benefit plan to provide administrative claims payment services only. This company does not assume financial risk or obligation with respect to claims processed on behalf of your benefit plan.","","1","0","","","31491140","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N249","77cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid assistant surgeon primary identifier.","","1","0","","","31491138","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N248","76cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid assistant surgeon name.","","1","0","","","31491136","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N247","75cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid assistant surgeon taxonomy.","","1","0","","","31491134","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N246","74cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","State regulated patient payment limitations apply to this service.","","1","0","","","31491132","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N245","73cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid plan information for other insurance.","","1","0","","","31491130","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N244","72cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/Invalid pre-operative images/visual field results.","","1","0","","","31491128","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N243","71cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid/not approved screening document.","","1","0","","","31491126","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N242","70cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid radiology film(s)/image(s).","","1","0","","","31491124","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N241","6fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid review organization approval.","","1","0","","","31491122","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N240","6ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid radiology report.","","1","0","","","31491120","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N24","26efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Missing/incomplete/invalid Electronic Funds Transfer (EFT) banking information.","","1","0","","","31491118","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N239","6dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid physician financial relationship form.","","1","0","","","31491114","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N238","6ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid physician certified plan of care.","","1","0","","","31491112","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N237","6bcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid patient medical record for this service.","","1","0","","","31491099","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N236","6acf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid pathology report.","","1","0","","","31491097","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N235","69cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid pacemaker registration form.","","1","0","","","31491095","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N233","67cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid operative note/report.","","1","0","","","31491093","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N234","68cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid oxygen certification/re-certification.","","1","0","","","31491091","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N232","66cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid itemized bill/statement.","","1","0","","","31491087","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N231","65cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid invoice or statement certifying the actual cost of the lens, less discounts, and/or the type of intraocular lens used.","","1","0","","","31491085","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N230","64cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid indication of whether the patient owns the equipment that requires the part or supply.","","1","0","","","31491083","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N23","25efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Alert: Patient liability may be affected due to coordination of benefits with other carriers and/or maximum benefit provisions.","","1","0","","","31491077","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N229","63cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid contract indicator.","","1","0","","","31491075","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N228","62cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid consent form.","","1","0","","","31491073","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N227","61cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid Certificate of Medical Necessity.","","1","0","","","31491070","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N226","60cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid American Diabetes Association Certificate of Recognition.","","1","0","","","31491068","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N224","5fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid documentation of benefit to the patient during initial treatment period.","","1","0","","","31491066","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N223","5ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing documentation of benefit to the patient during initial treatment period.","","1","0","","","31491064","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N222","5dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Incomplete/invalid Admitting History and Physical report.","","1","0","","","31491062","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N221","5ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing Admitting History and Physical report.","","1","0","","","31491060","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N220","5bcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Alert: See the payer's web site or contact the payer's Customer Service department to obtain forms and instructions for filing a provider dispute.","","1","0","","","31491058","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N22","24efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Alert: This procedure code was added/changed because it more accurately describes the services rendered.","","1","0","","","31491055","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N219","5acf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Payment based on previous payer's allowed amount.","","1","0","","","31491047","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N218","59cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","You must furnish and service this item for as long as the patient continues to need it. We can pay for maintenance and/or servicing for the time period specified in the contract or coverage manual.","","1","0","","","31491045","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N217","58cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","We pay only one site of service per provider per claim.","","1","0","","","31491043","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N215","56cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Alert: A payer providing supplemental or secondary coverage shall not require a claims determination for this service from a primary payer as a condition of making its own claims determination.","","1","0","","","31491041","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N216","57cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","We do not offer coverage for this type of service or the patient is not enrolled in this portion of our benefit package.","","1","0","","","31491039","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N214","55cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid history of the related initial surgical procedure(s).","","1","0","","","31491033","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N213","54cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid facility/discrete unit DRG/DRG exempt status information.","","1","0","","","31491031","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N212","53cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Charges processed under a Point of Service benefit.","","1","0","","","31491029","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N211","52cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Alert: You may not appeal this decision.","","1","0","","","31491027","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N210","51cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Alert: You may appeal this decision.","","1","0","","","31491025","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N21","23efa58f-e2d1-ef11-8eea-6045bd080606","984780001","Alert: Your line item has been separated into multiple lines to expedite handling.","","1","0","","","31491023","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N209","50cf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid taxpayer identification number (TIN).","","1","0","","","31491021","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N208","4fcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid DRG code.","","1","0","","","31491019","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N207","4ecf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Missing/incomplete/invalid weight.","","1","0","","","31491017","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N206","4dcf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","The supporting documentation does not match the information sent on the claim.
Notes: (Modified 3/6/12)","","1","0","","","31491014","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N205","4ccf8e8f-e2d1-ef11-8ee9-000d3a59454e","984780001","Information provided was illegible.","","1","0","","","31491012","dc5c7cb8-6921-ef11-840b-0022480a10b0"
